Name,ULAN,Wikidata
Art Institute of Chicago ,500304669,Q239303
The Metropolitan Museum of Art,500309699,Q160236
The Museum of Modern Art,500303609,Q188740
San Francisco Museum of Modern Art,500264108,Q913672
Brooklyn Museum,500267611,Q632682
Corcoran Gallery of Art ,500265171,Q768446
MoMA PS1,500274556,Q1139848
White Columns,,Q12072840
Arts Club of Chicago,500263124,Q4801437
Whitney Museum of Art,500303638,Q105724647
Solomon R. Guggenheim Museum,500303631,Q201469
The Kitchen,500304362,Q1796286
New Museum,500303615,Q1156823
LACE Gallery,500353809,Q6682055
"Institute of Contemporary Art, Philadelphia",500311164,Q3152800
Pratt Institute,500304324,Q1204714
Brooklyn Museum Art School (BMAS),500303729,Q17986107
Guggenheim Museum Bilbao,500304557,Q179199
Williamsburg Art & Historical Center,,Q66121148
Rotunda Gallery,,Q48741352
Tanager Gallery,500304355,Q72882495
Brooklyn Museum Community Gallery,500267611,Q632682
Kentler International Drawing Space,,
Hansa Gallery,,Q98397031
Momenta Art,,Q3319265
Peggy Guggenheim Collection,500246432,Q1049033
Brooklyn Watercolor Society,,
Deutsche Guggenheim,500308104,Q574114
Green Gallery,500303943,Q5602572
Brooklyn Art Association,,
Sideshow Gallery,,
31 Grand,,
Museum of Non-Objective Painting,500304291,Q201469
Brooklyn Institute of Arts & Sciences,500267611,Q632682
Brooklyn Society of Artists,,
Roebling Hall,,
Brooklyn Public Library,500303730,Q1198796
Brata Gallery,,Q71896070
440 Gallery,,
im n iL,,
St. Francis College,,Q96190623
Judson Gallery,,Q98158313
Reuben Gallery,500304327,Q98277789
Object Image Gallery,,
Schroeder Romero,,Q7432898
David Allen Gallery,,
Five Myles,,Q85761151
Brooklyn Society of Miniature Painters,,
Art 101,,
Brooklyn Art Club,,
Brooklyn Society of Etchers,,
Clinton Hill Art Gallery,,
Black & White Gallery,,
Dallas Museum of Art,500213367,Q745866
Front Room Gallery,,Q5505822
BWAC: Brooklyn Working Artists Coalition,,
Fillmore Gallery,,
Giacobetti Paul Gallery,,
Holland Tunnel,,
Artists' League of Brooklyn,,
Brooklyn Arts Council,,Q110307451
Brooklyn Society of Modern Artists,,
Con Edison Exhibition Space,,
Guggenheim Hermitage Museum,,Q1974769
Peggy Guggenheim Collection Venice,500246432,Q1049033
Brooklyn Arts Exchange (BAX),,
Guggenheim Museum SoHo,500260764,Q15032075
Los Angeles County Museum of Art,500217563,Q1641836
The Baltimore Museum of Art,500306982,Q377579
A.M. Richard Fine Art,,
BRIC Arts,,Q16846372
Brooklyn Water Color Club,,
Chambers Street Loft Series,,
Delancey Street Museum,,
The Center,,
The City Gallery,500213702,Q5123167
Grant Studios,,
Splendid,,
The Columbus Gallery of Fine Arts,500293957,Q5935366
Walker Art Center,500302990,Q1851516
BWAC: Brooklyn Waterfront Artists Coalition,,
Charles Barzansky Galleries,,
Dollhaus Art Gallery,,
Ruby Gallery,,
"University Art Museum, University of California, Berkeley",500231612,
Arena@Feed,,
Brooklyn Heights Art Show,,
Causey Contemporary,,
Danny Simmons Corridor Gallery,,
Goloborotko's Studio,,
Kunsthaus Zurich,500245760,Q685038
Slate Gallery,,
"The Museum of Fine Arts, Houston",500300415,Q1565911
The National Gallery of Canada,500309817,Q1068063
artMoving,,
Brooklyn Botanic Garden,500303725,Q1360424
Brooklyn Waterfront Artists Coalition,,
Des Moines Art Center,500215785,Q5263501
Long Island University,,
Metaphor Contemporary Art,,
Milwaukee Art Center,500449347,Q325712
Minor Injury,,
Modern Art Museum of Fort Worth,500305327,Q1414796
Museum of Contemporary Art Chicago,500304703,Q118142
Simon Liu Gallery,,
The Art Institute of Chicago,500304669,Q239303
The Pasadena Art Museum,500310865,Q1752085
"University Gallery, University of Minnesota",500308351,
YWCA,500256514,
Art Gallery of New South Wales,500267593,Q705551
Art Lot,,
Brooklyn Institute,,Q632682
Cincinnati Art Museum,500284805,Q2970522
Cleveland Museum of Art,500209693,Q657415
Galerie Charpentier,500310169,
"Krannert Art Museum, University of Illinois",500312114,
Marion Koogler McNay Art Institute,500308519,
Musee National d'Art Moderne,500310014,Q178065
"Museum of Art, Carnegie Institute",500260427,
Philadelphia Museum of Art,500214534,Q510324
Phyllis Stigliano Gallery,,
Portland Art Museum,500285887,Q279049
Seattle Art Museum,500241633,Q1816301
Society for Clinton Hill,,
Tate Gallery,500266827,Q430682
The Corcoran Gallery of Art,500265171,Q768446
The Montreal Museum of Fine Arts,500229324,Q860812
Worcester Art Museum,500311791,Q847508
A Space Gallery,500309786,
Albright-Knox Art Gallery,500278842,Q1970945
Ardsley Studios,,
Association of Flatbush Artists,,
Brooklyn College,,Q371625
Brooklyn Painters & Sculptors,,
"Busch-Reisinger Museum, Harvard University",500258647,
Chi Contemporary Fine Art,,
Coe College,,Q5140489
Guggenheim Abu Dhabi,,
Haags Gemeentemuseum,500277610,Q1499958
Hogar Collection,,
Institute of Contemporary Art,500305556,Q3152226
Kingsborough Community College,,
March Gallery,,
Musee d'Art Contemporain,500303130,Q2235294
"Musee National d'Art Moderne, Centre Georges Pompidou",500271088,Q178065
"Museum of Art, Rhode Island School of Design",500310249,Q2148186
Museum of Contemporary Art,500304703,Q118142
National Gallery of Art,500115983,Q214867
Park Place Group,,
SATTA,,
Schirn Kunsthalle Frankfurt,500277889,Q176293
Smack Mellon Studios,,
Staatliche Kunsthalle Baden-Baden,500245652,Q1792405
